arm_title,e1_normsbeliefs,e1_distancing,e1_food,e1_others,gender,age_band,party
Reframing Bravery + Pollution,1.0,1.0,1.0,0.75,Female,55+,Democrat
Protect Others - Threshold Cooperation,1.0,0.5,0.5,0.4583333333333333,Male,18-34,Republican
Protect Others - Linear Cooperation,0.8333333333333334,0.75,0.8333333333333334,0.5833333333333334,Male,55+,Independent
Reframing Bravery + Pollution,0.6666666666666666,0.625,0.9166666666666666,0.5,Male,18-34,Republican
Protect Yourself - Individual Action,0.9166666666666666,0.8333333333333334,1.0,0.8333333333333334,Male,35-54,Democrat
Baseline Informational (reference),0.5,0.5833333333333334,0.6666666666666666,0.625,Male,18-34,Republican
Reframing Bravery + Pollution,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,Male,55+,Democrat
Protect Others - Individual Action,1.0,0.5416666666666666,0.0833333333333333,1.0,Female,18-34,Democrat
Protect Yourself - Threshold Cooperation,1.0,1.0,1.0,0.875,Female,55+,Democrat
Protect Others - Individual Action,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,Male,35-54,Independent
Adapt to New Normal,0.25,0.9166666666666666,1.0,0.75,Male,18-34,Democrat
Protect Yourself - Linear Cooperation,0.9166666666666666,0.9166666666666666,1.0,0.625,Female,55+,Democrat
Protect Yourself - Linear Cooperation,0.0,0.75,0.9166666666666666,0.6666666666666666,Female,35-54,Democrat
Return to Normal,1.0,0.75,1.0,0.5,Female,55+,Republican
Reframing Bravery + Pollution,1.0,0.9166666666666666,1.0,1.0,Female,18-34,Democrat
Reframing Bravery,1.0,0.375,0.25,0.625,Male,18-34,Democrat
Protect Yourself - Individual Action,0.9166666666666666,0.875,1.0,0.625,Female,18-34,Democrat
Protect Others - Linear Cooperation,0.1666666666666666,0.4583333333333333,0.6666666666666666,0.4583333333333333,Female,55+,Republican
Protect Yourself - Linear Cooperation,1.0,1.0,1.0,0.7083333333333334,Male,55+,Democrat
Reframing Bravery + Pollution,0.0,0.0,0.3333333333333333,0.0,Male,35-54,Republican
Protect Yourself - Individual Action,0.1666666666666666,0.625,0.9166666666666666,0.5416666666666666,Male,18-34,Democrat
Protect Yourself - Linear Cooperation,0.6666666666666666,0.3333333333333333,0.25,0.4166666666666667,Male,55+,Republican
Baseline Informational (reference),0.9166666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333334,Female,35-54,Republican
Adapt to New Normal,0.9166666666666666,0.875,0.9166666666666666,0.2083333333333333,Female,35-54,Republican
Baseline Informational (reference),0.9166666666666666,0.8333333333333334,0.9166666666666666,0.625,Female,35-54,Republican
Baseline Informational (reference),1.0,1.0,1.0,0.9583333333333334,Male,18-34,Democrat
Reframing Bravery,0.0,0.6666666666666666,1.0,0.5,Male,18-34,Republican
Baseline Informational (reference),0.9166666666666666,0.625,0.75,0.75,Female,18-34,Democrat
Reframing Bravery,1.0,0.75,0.9166666666666666,0.8333333333333334,Male,55+,Democrat
Baseline Informational (reference),0.8333333333333334,0.7083333333333334,1.0,0.7083333333333334,Female,55+,Democrat
Protect Yourself - Linear Cooperation,0.5,0.5,0.5833333333333334,0.5,Male,18-34,Democrat
Baseline Informational (reference),1.0,0.8333333333333334,1.0,0.9166666666666666,Male,55+,Republican
Protect Yourself - Threshold Cooperation,0.6666666666666666,0.4166666666666667,0.5,0.4583333333333333,Female,35-54,Republican
Protect Yourself - Individual Action,1.0,0.9583333333333334,0.9166666666666666,1.0,Male,55+,Democrat
Adapt to New Normal,0.9166666666666666,0.8333333333333334,1.0,0.75,Male,55+,Democrat
Protect Others - Individual Action,1.0,1.0,0.6666666666666666,1.0,Male,35-54,Republican
Baseline Informational (reference),0.5,0.7916666666666666,1.0,,Female,35-54,Republican
Protect Yourself - Threshold Cooperation,1.0,0.875,0.9166666666666666,0.75,Male,55+,Democrat
Protect Yourself - Individual Action,1.0,0.9166666666666666,0.75,0.8333333333333334,Female,18-34,Democrat
Adapt to New Normal,1.0,1.0,1.0,0.875,Female,35-54,Independent
Protect Yourself - Linear Cooperation,0.0833333333333333,,0.6666666666666666,0.6666666666666666,Male,18-34,Republican
Protect Yourself - Linear Cooperation,1.0,0.8333333333333334,1.0,0.375,Male,18-34,Democrat
Reframing Bravery,1.0,0.3333333333333333,0.3333333333333333,0.5,Male,18-34,Republican
Baseline Informational (reference),0.1666666666666666,0.7916666666666666,0.5833333333333334,0.75,Male,18-34,Republican
Protect Yourself - Threshold Cooperation,1.0,0.5,0.1666666666666666,0.3333333333333333,Female,35-54,Republican
Return to Normal,0.8333333333333334,0.875,0.8333333333333334,0.5833333333333334,Female,35-54,Independent
Baseline Informational (reference),1.0,1.0,1.0,0.8333333333333334,Female,55+,Republican
Protect Yourself - Individual Action,0.5833333333333334,1.0,0.8333333333333334,0.375,Female,55+,Democrat
Protect Yourself - Threshold Cooperation,0.4166666666666667,0.375,0.5833333333333334,0.5416666666666666,Male,18-34,Independent
Protect Others - Threshold Cooperation,1.0,0.9166666666666666,0.9166666666666666,0.875,Male,18-34,Democrat
Protect Yourself - Individual Action,1.0,0.9583333333333334,1.0,0.9583333333333334,Male,35-54,Democrat
Protect Others - Threshold Cooperation,0.4166666666666667,0.5833333333333334,1.0,0.5833333333333334,Female,18-34,Independent
Protect Yourself - Threshold Cooperation,1.0,0.75,1.0,0.625,Female,35-54,Democrat
Protect Others - Threshold Cooperation,1.0,1.0,1.0,1.0,Female,35-54,Democrat
Protect Others - Linear Cooperation,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.625,Female,35-54,Republican
Protect Others - Threshold Cooperation,0.9166666666666666,0.5,0.4166666666666667,0.7083333333333334,Female,18-34,Independent
Reframing Bravery,1.0,0.5833333333333334,0.6666666666666666,0.7083333333333334,Male,35-54,Republican
Protect Others - Individual Action,0.9166666666666666,0.4166666666666667,0.5833333333333334,0.375,Male,35-54,Republican
Protect Yourself - Individual Action,0.3333333333333333,0.4583333333333333,0.5,0.1666666666666666,Female,35-54,Republican
Protect Others - Linear Cooperation,0.75,0.375,0.5833333333333334,0.2916666666666667,Female,55+,Republican
Protect Others - Linear Cooperation,0.5,0.5,0.6666666666666666,0.5,Female,18-34,Democrat
Baseline Informational (reference),1.0,0.875,0.9166666666666666,0.5833333333333334,Female,35-54,Democrat
Baseline Informational (reference),0.75,0.5416666666666666,0.5,,Female,35-54,Republican
Adapt to New Normal,1.0,0.875,1.0,0.7916666666666666,Male,18-34,Democrat
Protect Yourself - Linear Cooperation,1.0,0.75,1.0,0.7083333333333334,Female,35-54,Democrat
Protect Yourself - Threshold Cooperation,0.3333333333333333,0.25,0.0833333333333333,0.25,Female,18-34,Republican
Protect Others - Threshold Cooperation,0.75,0.4583333333333333,0.5,0.5416666666666666,Male,18-34,Democrat
Protect Yourself - Threshold Cooperation,0.4166666666666667,0.5,0.6666666666666666,0.5833333333333334,Male,55+,Democrat
Protect Others - Individual Action,0.6666666666666666,0.4583333333333333,0.5,0.5416666666666666,Male,35-54,Democrat
Baseline Informational (reference),0.3333333333333333,0.0,0.3333333333333333,0.0833333333333333,Male,35-54,Republican
Reframing Bravery + Pollution,0.0,0.4583333333333333,0.3333333333333333,0.5833333333333334,Male,35-54,Democrat
Reframing Bravery,0.3333333333333333,0.25,0.75,0.5833333333333334,Male,18-34,Republican
Baseline Informational (reference),0.5,0.375,0.1666666666666666,0.6666666666666666,Male,35-54,Republican
Reframing Bravery + Pollution,0.5,0.5,0.6666666666666666,0.5416666666666666,Female,18-34,Democrat
Adapt to New Normal,0.5,0.0833333333333333,0.0,,Male,35-54,Republican
Reframing Bravery,0.4166666666666667,0.6666666666666666,0.1666666666666666,0.3333333333333333,Male,35-54,Independent
Return to Normal,1.0,1.0,1.0,1.0,Male,35-54,Democrat
Baseline Informational (reference),0.5,0.2083333333333333,0.3333333333333333,,Female,35-54,Democrat
Protect Others - Threshold Cooperation,1.0,0.875,1.0,0.9166666666666666,Female,55+,Democrat
Protect Others - Linear Cooperation,1.0,0.7916666666666666,1.0,0.6666666666666666,Male,35-54,Republican
Protect Others - Threshold Cooperation,0.4166666666666667,0.625,0.6666666666666666,,Male,35-54,Republican
Baseline Informational (reference),0.9166666666666666,0.4166666666666667,0.0833333333333333,0.5,Male,18-34,Democrat
Protect Others - Threshold Cooperation,1.0,0.9166666666666666,0.9166666666666666,0.625,Female,55+,Republican
Reframing Bravery,1.0,0.4166666666666667,0.3333333333333333,0.7916666666666666,Male,55+,Independent
Protect Others - Linear Cooperation,0.6666666666666666,0.5416666666666666,0.9166666666666666,0.5833333333333334,Female,55+,Independent
Protect Others - Threshold Cooperation,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,Male,18-34,Democrat
Return to Normal,1.0,0.4583333333333333,0.25,0.5,Male,55+,Republican
Baseline Informational (reference),0.8333333333333334,0.75,0.6666666666666666,0.8333333333333334,Male,35-54,Republican
Baseline Informational (reference),1.0,0.75,1.0,0.625,Male,55+,Republican
Protect Others - Threshold Cooperation,0.6666666666666666,0.5833333333333334,1.0,0.5,Female,55+,Democrat
Baseline Informational (reference),1.0,0.9583333333333334,1.0,0.3333333333333333,Female,18-34,Democrat
Adapt to New Normal,0.5833333333333334,0.625,0.3333333333333333,0.2916666666666667,Male,55+,Democrat
Baseline Informational (reference),1.0,1.0,1.0,0.875,Male,35-54,Democrat
Protect Others - Threshold Cooperation,1.0,0.75,0.8333333333333334,0.9583333333333334,Male,35-54,Republican
Baseline Informational (reference),0.6666666666666666,0.5833333333333334,0.9166666666666666,0.5833333333333334,Male,18-34,Independent
Protect Yourself - Threshold Cooperation,0.8333333333333334,0.875,1.0,0.5416666666666666,Male,35-54,Republican
Protect Yourself - Individual Action,0.0,0.75,1.0,0.7083333333333334,Male,35-54,Democrat
Baseline Informational (reference),0.5,0.2916666666666667,0.5,0.125,Female,55+,Republican
Protect Yourself - Individual Action,0.5,0.625,0.75,0.5416666666666666,Male,18-34,Democrat
Protect Others - Threshold Cooperation,0.5833333333333334,0.25,0.5,0.3333333333333333,Male,55+,Republican
Reframing Bravery + Pollution,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,Male,18-34,Democrat
Return to Normal,0.0,0.6666666666666666,1.0,0.6666666666666666,Male,55+,Democrat
Baseline Informational (reference),0.9166666666666666,0.5416666666666666,0.8333333333333334,0.2916666666666667,Female,35-54,Democrat
Reframing Bravery,0.5,0.5833333333333334,0.6666666666666666,,Female,35-54,Independent
Protect Yourself - Individual Action,1.0,0.625,0.8333333333333334,0.875,Male,35-54,Independent
Protect Yourself - Individual Action,0.3333333333333333,0.4583333333333333,0.5833333333333334,0.5416666666666666,Male,18-34,Republican
Protect Yourself - Individual Action,1.0,0.75,1.0,0.25,Female,35-54,Democrat
Baseline Informational (reference),1.0,0.5833333333333334,0.6666666666666666,0.8333333333333334,Female,55+,Democrat
Baseline Informational (reference),0.8333333333333334,0.9583333333333334,1.0,0.5833333333333334,Female,55+,Democrat
Reframing Bravery,1.0,0.75,1.0,0.7916666666666666,Male,35-54,Republican
Baseline Informational (reference),0.5833333333333334,0.2916666666666667,0.5833333333333334,0.25,Male,55+,Republican
Protect Yourself - Individual Action,0.8333333333333334,0.875,0.5833333333333334,0.7916666666666666,Male,35-54,Democrat
Return to Normal,1.0,0.75,0.5833333333333334,0.25,Male,55+,Republican
Reframing Bravery,0.4166666666666667,0.8333333333333334,0.5833333333333334,0.625,Male,18-34,Republican
Protect Others - Individual Action,0.1666666666666666,0.6666666666666666,0.75,0.4583333333333333,Male,18-34,Republican
Protect Others - Threshold Cooperation,0.0,0.5416666666666666,0.6666666666666666,0.7916666666666666,Male,35-54,Democrat
Reframing Bravery + Pollution,1.0,0.9583333333333334,1.0,1.0,Male,55+,Independent
Protect Others - Threshold Cooperation,0.75,0.75,1.0,0.125,Male,35-54,Independent
Protect Others - Linear Cooperation,1.0,0.5833333333333334,0.6666666666666666,1.0,Male,18-34,Independent
Protect Others - Linear Cooperation,0.9166666666666666,0.625,0.9166666666666666,0.6666666666666666,Male,35-54,Republican
Protect Yourself - Linear Cooperation,0.8333333333333334,0.5416666666666666,0.8333333333333334,0.625,Female,35-54,Democrat
Adapt to New Normal,1.0,0.875,0.6666666666666666,0.4583333333333333,Female,55+,Democrat
Protect Yourself - Linear Cooperation,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5416666666666666,Male,35-54,Republican
Baseline Informational (reference),0.8333333333333334,1.0,1.0,0.7083333333333334,Male,35-54,Democrat
Protect Others - Individual Action,0.8333333333333334,0.6666666666666666,0.75,0.5416666666666666,Female,35-54,Republican
Adapt to New Normal,0.8333333333333334,0.4166666666666667,0.75,0.6666666666666666,Male,55+,Democrat
Baseline Informational (reference),0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5416666666666666,Male,18-34,Democrat
Protect Yourself - Individual Action,0.9166666666666666,1.0,0.75,0.7916666666666666,Male,18-34,Democrat
Baseline Informational (reference),1.0,1.0,0.6666666666666666,0.7916666666666666,Female,55+,Democrat
Protect Others - Threshold Cooperation,1.0,1.0,1.0,0.9583333333333334,Male,55+,Democrat
Protect Yourself - Threshold Cooperation,1.0,0.625,0.8333333333333334,0.7083333333333334,Male,35-54,Independent
Adapt to New Normal,0.0,0.8333333333333334,1.0,0.9583333333333334,Male,55+,Democrat
Reframing Bravery,1.0,1.0,1.0,0.6666666666666666,Female,55+,Democrat
Return to Normal,1.0,0.9583333333333334,0.9166666666666666,0.5833333333333334,Female,18-34,Democrat
Reframing Bravery,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5416666666666666,Female,18-34,Democrat
Protect Yourself - Linear Cooperation,1.0,0.5,0.8333333333333334,0.4583333333333333,Male,35-54,Republican
Reframing Bravery,1.0,0.7916666666666666,0.8333333333333334,0.75,Male,55+,Republican
Protect Others - Individual Action,1.0,0.75,0.8333333333333334,0.5416666666666666,Female,35-54,Democrat
Protect Others - Linear Cooperation,1.0,0.75,0.8333333333333334,0.8333333333333334,Male,35-54,Democrat
Baseline Informational (reference),0.75,0.75,0.9166666666666666,,Male,55+,Independent
Adapt to New Normal,1.0,0.6666666666666666,0.8333333333333334,0.625,Female,55+,Democrat
Baseline Informational (reference),0.9166666666666666,0.875,0.1666666666666666,0.5833333333333334,Male,35-54,Republican
Return to Normal,1.0,0.3333333333333333,0.3333333333333333,0.5,Male,35-54,Democrat
Baseline Informational (reference),0.75,0.25,0.5,0.5,Male,18-34,Independent
Return to Normal,1.0,0.7916666666666666,1.0,0.8333333333333334,Male,35-54,Democrat
Protect Yourself - Individual Action,0.75,0.4583333333333333,0.6666666666666666,0.5416666666666666,Male,35-54,Republican
Protect Yourself - Linear Cooperation,0.0,0.3333333333333333,0.3333333333333333,1.0,Male,18-34,Democrat
Protect Others - Threshold Cooperation,1.0,0.625,0.9166666666666666,0.1666666666666666,Female,55+,Democrat
Protect Others - Individual Action,1.0,0.7916666666666666,0.4166666666666667,0.4166666666666667,Female,55+,Independent
Protect Others - Threshold Cooperation,0.0,0.7916666666666666,0.1666666666666666,0.0416666666666666,Male,55+,Republican
Return to Normal,0.4166666666666667,0.2916666666666667,0.5,0.3333333333333333,Male,18-34,Independent
Protect Others - Individual Action,0.9166666666666666,0.7083333333333334,1.0,0.9166666666666666,Male,55+,Democrat
Baseline Informational (reference),0.6666666666666666,0.4583333333333333,0.5833333333333334,0.3333333333333333,Male,55+,Republican
Protect Others - Individual Action,0.1666666666666666,0.0833333333333333,0.5,,Male,35-54,Republican
Return to Normal,0.5,0.5,0.6666666666666666,0.375,Male,35-54,Democrat
Protect Yourself - Linear Cooperation,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.5416666666666666,Male,55+,Republican
Protect Others - Linear Cooperation,0.0,0.625,0.8333333333333334,0.3333333333333333,Male,35-54,Republican
Protect Others - Linear Cooperation,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.2916666666666667,Male,35-54,Independent
Protect Others - Linear Cooperation,0.9166666666666666,0.375,0.4166666666666667,0.3333333333333333,Male,35-54,Democrat
Reframing Bravery,0.9166666666666666,0.6666666666666666,0.5,0.25,Male,18-34,Independent
Protect Others - Individual Action,1.0,0.7916666666666666,0.25,1.0,Male,35-54,Democrat
Baseline Informational (reference),1.0,0.9166666666666666,1.0,0.8333333333333334,Female,35-54,Democrat
Reframing Bravery + Pollution,0.5,0.2916666666666667,0.3333333333333333,0.3333333333333333,Male,18-34,Democrat
Protect Others - Linear Cooperation,1.0,0.875,0.75,0.6666666666666666,Female,55+,Democrat
Baseline Informational (reference),0.9166666666666666,1.0,1.0,0.7916666666666666,Male,35-54,Democrat
Baseline Informational (reference),,0.9583333333333334,0.9166666666666666,0.75,Female,55+,Democrat
